RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
1,Luka DoncicDAL,PG,70,37.5,33.9,11.5,23.6,48.7,4.1,10.6,38.2,6.8,8.7,78.6,9.2,9.8,1.4,0.5,4.0,49,21
2,Giannis AntetokounmpoMIL,PF,73,35.2,30.4,11.5,18.8,61.1,0.5,1.7,27.4,7.0,10.7,65.7,11.5,6.5,1.2,1.1,3.4,57,10
3,Shai Gilgeous-AlexanderOKC,PG,75,34.0,30.1,10.6,19.8,53.5,1.3,3.6,35.3,7.6,8.7,87.4,5.5,6.2,2.0,0.9,2.2,8,0
4,Jalen BrunsonNY,PG,77,35.4,28.7,10.3,21.4,47.9,2.7,6.8,40.1,5.5,6.5,84.7,3.6,6.7,0.9,0.2,2.4,9,0
5,Kevin DurantPHX,PF,75,37.2,27.1,10.0,19.1,52.3,2.2,5.4,41.3,4.8,5.6,85.6,6.6,5.0,0.9,1.2,3.3,14,1
6,Devin BookerPHX,SG,68,36.0,27.1,9.4,19.2,49.2,2.2,6.1,36.4,6.0,6.7,88.6,4.5,6.9,0.9,0.4,2.6,13,0
7,Jayson TatumBOS,SF,74,35.7,26.9,9.1,19.3,47.1,3.1,8.2,37.6,5.6,6.7,83.3,8.1,4.9,1.0,0.6,2.5,25,0
8,De'Aaron FoxSAC,PG,74,35.9,26.6,9.7,20.9,46.5,2.9,7.8,36.9,4.2,5.7,73.8,4.6,5.6,2.0,0.4,2.6,6,0
9,Stephen CurryGS,PG,74,32.7,26.4,8.8,19.5,45.0,4.8,11.8,40.8,4.0,4.4,92.3,4.5,5.1,0.7,0.4,2.8,7,0
10,Nikola JokicDEN,C,79,34.6,26.4,10.4,17.9,58.3,1.1,2.9,35.9,4.5,5.5,81.7,12.4,9.0,1.4,0.9,3.0,68,25
11,Tyrese MaxeyPHI,PG,70,37.5,25.9,9.1,20.3,45.0,3.0,8.1,37.3,4.7,5.4,86.8,3.7,6.2,1.0,0.5,1.7,9,0
12,Anthony EdwardsMIN,SG,79,35.1,25.9,9.1,19.7,46.1,2.4,6.7,35.7,5.4,6.4,83.6,5.4,5.1,1.3,0.5,3.1,9,0
13,LeBron JamesLAL,SF,71,35.3,25.7,9.6,17.9,54.0,2.1,5.1,41.0,4.3,5.7,75.0,7.3,8.3,1.3,0.5,3.5,27,5
14,Kyrie IrvingDAL,PG,58,35.0,25.6,9.7,19.5,49.7,3.0,7.3,41.1,3.3,3.6,90.5,5.0,5.2,1.3,0.5,1.8,5,0
15,Anthony DavisLAL,PF,76,35.5,24.7,9.4,16.9,55.6,0.4,1.4,27.1,5.5,6.8,81.6,12.6,3.5,1.2,2.3,2.1,64,2
16,Damian LillardMIL,PG,73,35.3,24.3,7.4,17.5,42.4,3.0,8.5,35.4,6.5,7.0,92.0,4.4,7.0,1.0,0.2,2.6,12,0
17,DeMar DeRozanCHI,SF,79,37.8,24.0,8.2,17.2,48.0,0.9,2.8,33.3,6.6,7.7,85.3,4.3,5.3,1.1,0.6,1.7,7,0
18,Kawhi LeonardLAC,SF,68,34.3,23.7,9.0,17.1,52.5,2.1,4.9,41.7,3.7,4.2,88.5,6.1,3.6,1.6,0.9,1.8,4,1
19,Jaylen BrownBOS,SG,70,33.5,23.0,9.0,17.9,49.9,2.1,5.9,35.4,3.0,4.3,70.3,5.5,3.6,1.2,0.5,2.4,6,1
20,Zion WilliamsonNO,PF,70,31.5,22.9,8.9,15.6,57.0,0.1,0.3,33.3,5.0,7.1,70.2,5.8,5.0,1.1,0.7,2.8,12,0
21,Cade CunninghamDET,PG,62,33.5,22.7,8.5,18.8,44.9,1.9,5.4,35.5,3.8,4.4,86.9,4.3,7.5,0.9,0.4,3.4,14,0
22,Paul GeorgeLAC,F,74,33.8,22.6,7.9,16.7,47.1,3.3,7.9,41.3,3.6,3.9,90.7,5.2,3.5,1.5,0.5,2.1,3,0
23,Paolo BancheroORL,PF,80,35.0,22.6,8.0,17.6,45.5,1.5,4.4,33.9,5.1,7.0,72.5,6.9,5.4,0.9,0.6,3.1,16,2
24,Jaren Jackson Jr.MEM,PF,66,32.2,22.5,7.8,17.6,44.4,1.8,5.5,32.0,5.1,6.3,80.8,5.5,2.3,1.2,1.6,2.4,5,0
25,Dejounte MurrayATL,SG,78,35.7,22.5,8.6,18.8,45.9,2.6,7.1,36.3,2.7,3.4,79.4,5.3,6.4,1.4,0.3,2.6,20,1
26,Cam ThomasBKN,SG,66,31.4,22.5,8.0,18.0,44.2,2.2,6.0,36.4,4.3,5.1,85.6,3.2,2.9,0.7,0.2,1.9,0,0
27,Kyle KuzmaWSH,SF,70,32.6,22.2,8.7,18.8,46.3,2.2,6.4,33.6,2.7,3.4,77.5,6.6,4.2,0.5,0.7,2.7,14,0
28,Karl-Anthony TownsMIN,C,62,32.7,21.8,7.7,15.3,50.4,2.2,5.3,41.6,4.1,4.7,87.3,8.3,3.0,0.7,0.7,2.9,22,0
29,Pascal SiakamIND/TOR,PF,80,33.2,21.7,8.5,15.9,53.6,1.1,3.1,34.6,3.6,5.0,73.2,7.1,4.3,0.8,0.3,1.8,15,1
30,Victor WembanyamaSA,C,71,29.7,21.4,7.8,16.7,46.5,1.8,5.5,32.5,4.1,5.2,79.6,10.6,3.9,1.2,3.6,3.7,43,2
31,Jamal MurrayDEN,PG,59,31.5,21.2,8.0,16.7,48.1,2.5,5.8,42.5,2.7,3.1,85.3,4.1,6.5,1.0,0.7,2.1,11,0
32,Alperen SengunHOU,C,63,32.5,21.1,8.4,15.6,53.7,0.5,1.8,29.7,3.9,5.6,69.3,9.3,5.0,1.2,0.7,2.6,29,2
33,Miles BridgesCHA,SF,69,37.4,21.0,8.1,17.5,46.2,2.3,6.5,34.9,2.5,3.1,82.5,7.3,3.3,0.9,0.5,2.0,19,0
34,Brandon IngramNO,SF,64,32.9,20.8,7.8,15.9,49.2,1.3,3.8,35.5,3.8,4.8,80.1,5.1,5.7,0.8,0.6,2.5,3,1
35,Jimmy ButlerMIA,SF,60,34.0,20.8,6.6,13.2,49.9,1.0,2.4,41.4,6.6,7.7,85.8,5.3,5.0,1.3,0.3,1.7,5,1
36,RJ BarrettTOR/NY,SG,58,31.7,20.2,7.5,15.2,49.5,1.6,4.3,36.0,3.6,5.0,71.5,5.4,3.3,0.5,0.4,2.2,2,0
37,Tyrese HaliburtonIND,PG,69,32.2,20.1,7.2,15.2,47.7,2.8,7.8,36.4,2.8,3.3,85.5,3.9,10.9,1.2,0.7,2.3,44,1
38,CJ McCollumNO,SG,66,32.7,20.0,7.3,16.0,45.9,3.6,8.4,42.9,1.7,2.1,82.7,4.3,4.6,0.9,0.6,1.7,2,0
39,Scottie BarnesTOR,SF,60,34.9,19.9,7.5,15.7,47.5,1.7,4.9,34.1,3.3,4.2,78.1,8.2,6.1,1.3,1.5,2.8,25,4
40,Terry RozierMIA/CHA,SG,61,33.4,19.8,7.2,16.4,44.3,2.4,6.7,36.3,2.8,3.2,86.9,4.0,5.6,1.0,0.3,1.7,4,0
41,Franz WagnerORL,SF,72,32.5,19.7,7.3,15.2,48.2,1.3,4.6,28.1,3.8,4.4,85.0,5.3,3.7,1.1,0.4,1.9,0,0
42,Jalen GreenHOU,SG,82,31.7,19.6,6.9,16.2,42.3,2.5,7.4,33.2,3.5,4.3,80.4,5.2,3.5,0.8,0.3,2.3,7,1
43,Mikal BridgesBKN,SF,82,34.8,19.6,6.9,15.8,43.6,2.7,7.2,37.2,3.1,3.9,81.4,4.5,3.6,1,0.4,2,3,0
44,Devin VassellSA,SG,68,33.1,19.5,7.3,15.5,47.2,2.4,6.6,37.2,2.4,3,80.1,3.8,4.1,1.1,0.3,1.6,0,0
45,Domantas SabonisSAC,PF,82,35.7,19.4,7.7,13,59.4,0.4,1.1,37.9,3.6,5.1,70.4,13.7,8.2,0.9,0.6,3.3,77,26
46,Bam AdebayoMIA,C,71,34,19.3,7.5,14.3,52.1,0.2,0.6,35.7,4.1,5.5,75.5,10.4,3.9,1.1,0.9,2.3,42,2
47,Coby WhiteCHI,PG,79,36.5,19.1,6.8,15.3,44.7,2.6,7,37.6,2.8,3.3,83.8,4.5,5.1,0.7,0.2,2.1,5,0
48,Jalen WilliamsOKC,F,71,31.3,19.1,7.5,14,54,1.5,3.4,42.7,2.5,3.1,81.4,4,4.5,1.1,0.6,1.7,3,0
49,Collin SextonUTAH,PG,78,26.6,18.7,6.5,13.3,48.7,1.6,4.2,39.4,4.1,4.7,85.9,2.6,4.9,0.8,0.2,2.1,4,0
50,Nikola VucevicCHI,C,76,34.3,18,7.7,15.9,48.4,1.2,4.1,29.4,1.4,1.7,82.2,10.5,3.3,0.7,0.8,1.6,45,0
51,D'Angelo RussellLAL,PG,76,32.7,18,6.5,14.2,45.6,3,7.2,41.5,2.1,2.5,82.8,3.1,6.3,0.9,0.5,2.1,10,0
52,Klay ThompsonGS,SG,77,29.7,17.9,6.4,14.7,43.2,3.5,9,38.7,1.6,1.8,92.7,3.3,2.3,0.6,0.5,1.5,0,0
53,Fred VanVleetHOU,PG,73,36.8,17.4,5.8,13.9,41.6,3.1,8,38.7,2.7,3.1,86,3.8,8.1,1.4,0.8,1.7,20,0
